time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,
4.17,0.560486,0.454231,0.212484,0.467566,0.607484,0.854702,
4.175,0.434928,0.600948,0.238539,0.42247,0.617399,0.812648,
4.18,0.889696,0.273706,0.476322,0.731209,0.135004,0.707403,
4.185,0.600197,0.433825,0.270719,0.440006,0.585607,0.81035,
4.19,0.326245,0.73033,0.327682,0.228679,0.719587,0.708769,
4.195,0.529712,0.455,0.170733,0.408713,0.701226,0.879432,
4.2,0.0618057,1,0.258685,0.255111,0.732104,0.731378,
4.205,0.611929,0.462004,0.409759,0.291068,0.608664,0.686044,
4.21,0.680771,0.412946,0.472915,0.272289,0.576203,0.642375,
4.215,0.561152,0.50668,0.325526,0.439376,0.532932,0.760444,
4.22,0.944249,0.0807796,0.373036,0.363849,0.599505,0.767139,
4.225,0.904728,0.158675,0.392296,0.473378,0.469396,0.755557,
4.23,0.442414,0.5921,0.227994,0.447117,0.603113,0.824355,
4.235,0.61815,0.44011,0.340506,0.393111,0.570527,0.751993,
4.24,0.403305,0.637067,0.250196,0.394432,0.631877,0.796479,
4.245,0.470409,0.621035,0.338738,0.460514,0.491706,0.739245,
4.25,0.49058,0.509353,0.186618,0.416447,0.67557,0.861884,
4.255,0.413664,0.617513,0.252508,0.35148,0.673475,0.792305,
4.26,0.531276,0.531545,0.241107,0.606827,0.440205,0.83945,
4.265,0.57829,0.577228,0.272993,1,0.0240484,0.853688,
4.27,0.4535,0.52325,0.196025,0.258447,0.820993,0.835631,
4.275,0.611123,0.479602,0.435694,0.305948,0.570219,0.666125,
4.28,0.630136,0.558411,0.399464,0.8755,0.037772,0.747196,
4.285,0.51909,0.619138,0.385739,0.597907,0.316605,0.719443,
4.29,0.49807,0.504865,0.181878,0.447427,0.649708,0.869414,
4.295,0.422381,0.630174,0.295894,0.350857,0.635474,0.758149,
4.3,0.394565,0.59799,0.162271,0.38001,0.725308,0.865558,
4.305,0.507698,0.558253,0.418074,0.164966,0.717284,0.654309,
4.31,0.570202,0.563862,0.424917,0.51325,0.36991,0.687214,
4.315,0.356776,0.668131,0.223002,0.358466,0.688192,0.809204,
4.32,0.593312,0.376454,0.138142,0.459766,0.685732,0.918931,
4.325,0.46498,0.577374,0.306444,0.303355,0.677027,0.751244,
4.33,0.160575,0.893439,0.256026,0.288316,0.710359,0.749763,
4.335,0.326456,0.678335,0.132035,0.469853,0.657183,0.88865,
4.34,0.400643,0.666168,0.293665,0.410404,0.576251,0.762144,
4.345,0.737081,0.299849,0.329873,0.394631,0.589391,0.776861,
4.35,0.568145,0.536468,0.518391,0.138105,0.658369,0.578569,
4.355,0.288858,0.711408,0.159729,0.354916,0.743073,0.851163,
4.36,0.457863,0.592026,0.438235,0.00587187,0.852912,0.617436,
4.365,0.594143,0.518225,0.591363,0.00976369,0.72226,0.511616,
4.37,0.555014,0.568682,0.43759,0.422343,0.447543,0.667025,
4.375,0.523196,0.613067,0.548249,0.185596,0.579904,0.552304,
4.38,0.692131,0.429457,0.428182,0.524264,0.366969,0.702,
4.385,0.900527,0.130435,0.37657,0.35512,0.601045,0.757598,
4.39,0.30594,0.756692,0.283393,0.35498,0.632228,0.752915,
4.395,0.652502,0.549809,0.598692,0.458376,0.274098,0.552341,
4.4,0.750287,0.346774,0.352762,0.632976,0.332487,0.780544,
4.405,0.269556,0.732533,0.140607,0.39885,0.71496,0.867877,
