time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,ankle_angle_r,ankle_angle_r_id,hip_flexion_l,hip_flexion_l_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,knee_angle_l,knee_angle_l_id,
4.06,-14.7537,2400.03,120.678,-784.479,32.1079,-346.067,-42.2911,-40.1164,-31.9664,2597.49,4.52862,-833.001,11.0653,-366.379,5.68977,85.3274,
4.065,-14.8019,1957.21,120.921,-771.245,32.2843,-299.999,-45.0963,-43.5229,-32.0459,2410.45,4.50519,-711.633,11.182,-313.14,5.63275,86.048,
4.07,-14.8158,2387.09,121.192,-773.007,32.4639,-347.926,-44.5007,-41.6754,-32.1288,2570.47,4.48236,-815.262,11.3013,-370.244,5.57712,151.213,
4.075,-14.7993,2012.89,121.495,-769.996,32.6464,-306.019,-50.3956,-48.2821,-32.2146,2431.51,4.45987,-724.481,11.4231,-321.737,5.52258,150.678,
4.08,-14.7374,2243.69,121.836,-756.065,32.819,-332.94,-47.5983,-44.6184,-32.3018,2498.57,4.43842,-787.003,11.5471,-350.51,5.46805,199.545,
4.085,-14.6455,2022.74,122.21,-764.861,32.9921,-301.063,-51.2113,-47.6803,-32.3906,2367.86,4.41752,-702.395,11.6744,-320.476,5.41269,224.32,
4.09,-14.5203,2355.96,122.62,-751.57,33.1615,-342.27,-49.1111,-46.0445,-32.4796,2582.41,4.39781,-823.715,11.8043,-365.969,5.35544,253.796,
4.095,-14.3607,1897.58,123.072,-743.991,33.3196,-297.02,-53.9917,-52.3686,-32.5697,2291.61,4.37871,-643.122,11.9376,-317.106,5.29448,279.173,
4.1,-14.1695,2389.49,123.557,-739.887,33.4598,-344.692,-51.4139,-48.3581,-32.6602,2570.33,4.36097,-801.945,12.0744,-369.588,5.23105,312.796,
4.105,-13.9594,1836.24,124.072,-739.245,33.5802,-292.71,-55.8497,-53.2735,-32.7518,2263.93,4.34407,-651.104,12.2152,-315.05,5.16513,335.279,
4.11,-13.73,2382.98,124.616,-696.42,33.6733,-354.705,-53.7532,-50.142,-32.8441,2524.92,4.32855,-797.28,12.3599,-362.293,5.09641,371.446,
4.115,-13.4697,1782.23,125.198,-728.747,33.752,-285.535,-59.4475,-57.7101,-32.9381,2246.67,4.31385,-644.288,12.5091,-314.802,5.02671,389.503,
4.12,-13.1988,2357.45,125.805,-661.865,33.8375,-357.403,-51.9683,-50.048,-33.0342,2477.09,4.30073,-789.973,12.6624,-364.854,4.95704,435.065,
4.125,-12.9105,1790.52,126.436,-722.747,33.8985,-289.134,-60.1163,-57.7929,-33.1336,2232.44,4.28835,-647.037,12.8208,-315.761,4.88821,440.53,
4.13,-12.6155,2284.65,127.091,-648.943,33.9463,-348.703,-57.4959,-52.9641,-33.237,2439.25,4.2773,-750.406,12.9836,-363.674,4.8219,484.908,
4.135,-12.3186,1930.79,127.752,-717.165,33.9785,-302.603,-58.1511,-56.5814,-33.3458,2310.67,4.26669,-685.056,13.1518,-332.044,4.75865,491.852,
4.14,-12.0195,1955.16,128.425,-688.654,33.9862,-300.841,-57.2127,-53.6866,-33.4602,2241.93,4.25716,-674.42,13.3246,-327.28,4.69996,533.862,
4.145,-11.7345,2214.75,129.094,-661.445,33.9836,-338.611,-56.9057,-52.8361,-33.5819,2420.04,4.24821,-729.122,13.5025,-361.761,4.64677,553.938,
4.15,-11.4536,1875.15,129.761,-676.964,33.9608,-298.691,-59.8333,-56.6041,-33.7112,2243.4,4.23957,-675.719,13.6857,-329.491,4.59946,573.925,
4.155,-11.1888,2054.7,130.417,-662.738,33.9216,-322.453,-59.2803,-55.0263,-33.8479,2295.23,4.23159,-686.917,13.8735,-341.309,4.5581,602.877,
4.16,-10.9355,1950.22,131.065,-659.656,33.8603,-312.112,-58.7312,-54.7855,-33.9929,2281.16,4.22389,-696.71,14.0661,-335.197,4.52342,617.344,
4.165,-10.7043,1988.04,131.694,-652.19,33.7859,-314.624,-60.0141,-55.9028,-34.1457,2276.08,4.2166,-669.714,14.2632,-344.063,4.4943,641.696,
4.17,-10.4901,1975.84,132.317,-641.074,33.693,-311.463,-56.5319,-52.3942,-34.3062,2240.54,4.20971,-688.946,14.4646,-336.696,4.47145,670.502,
4.175,-10.2946,1937.55,132.919,-638.972,33.5846,-310.715,-57.1734,-53.7775,-34.4742,2246.48,4.2027,-677.867,14.6702,-335.154,4.45485,682.268,
4.18,-10.1637,1993.14,133.518,-627.502,33.4841,-315.592,-55.2105,-51.8201,-34.649,2235.01,4.19611,-669.175,14.8801,-340.796,4.44305,708.242,
4.185,-10.0422,1795.86,134.112,-636.049,33.3701,-294.358,-57.7769,-54.1054,-34.8303,2160.86,4.18922,-649.078,15.0941,-323.699,4.43671,721.354,
4.19,-9.92496,2148.31,134.708,-550.658,33.2386,-345.782,-54.8753,-50.5964,-35.0169,2300.41,4.18274,-719.382,15.3118,-354.603,4.4341,760.57,
4.195,-9.81183,1673.12,135.314,-635.306,33.0964,-279.367,-59.462,-56.3835,-35.2081,2073.9,4.17592,-602.479,15.5335,-318.691,4.43453,768.186,
4.2,-9.69882,2137.62,135.93,-551.355,32.9385,-337.853,-56.3927,-51.2188,-35.4021,2298.97,4.1698,-716.46,15.7581,-357.002,4.43675,798.585,
4.205,-9.58295,1762.98,136.565,-617.454,32.7627,-287.976,-58.3612,-54.4423,-35.5984,2109.44,4.1641,-616.712,15.9861,-325.069,4.43989,807.281,
4.21,-9.46478,1941.83,137.219,-575.041,32.5687,-313.685,-55.8294,-52.2526,-35.7949,2196.99,4.15969,-661.742,16.2161,-343.103,4.44246,828.77,
4.215,-9.33829,1868.25,137.903,-586.802,32.3547,-306.253,-57.0866,-53.6786,-35.9911,2157.23,4.15658,-641.079,16.4486,-333.344,4.44323,843.63,
4.22,-9.20443,1889.35,138.611,-554.517,32.1247,-310.973,-61.2628,-57.5577,-36.1843,2146.97,4.15571,-641.951,16.6818,-337.346,4.44062,872.88,
4.225,-9.06045,1881.97,139.351,-569.078,31.878,-303.132,-58.2754,-54.7587,-36.3726,2165.11,4.15796,-641.959,16.9151,-339.53,4.4323,883.367,
4.23,-8.89733,1777.59,140.135,-556.318,31.6102,-300.284,-60.7432,-58.6749,-36.5568,2053.75,4.1625,-606.484,17.1475,-323.515,4.42036,906.958,
4.235,-8.71096,2017.13,140.974,-536.316,31.3222,-311.923,-58.6943,-52.8965,-36.7342,2233.81,4.17014,-646.502,17.378,-351.932,4.40191,921.562,
4.24,-8.49795,1768.04,141.864,-553.423,31.0175,-303.564,-62.5527,-60.3498,-36.904,2073.82,4.18261,-620.166,17.606,-329.717,4.37721,934.057,
4.245,-8.25805,1763.65,142.822,-518.738,30.6987,-291.506,-61.3506,-56.8924,-37.0671,2015.11,4.19477,-569.264,17.829,-329.595,4.346,964.401,
4.25,-7.98075,2020.88,143.849,-523.108,30.364,-315.848,-60.6079,-57.7033,-37.2211,2237.66,4.21218,-671.763,18.0461,-353.311,4.30932,967.524,
4.255,-7.66339,1600.86,144.95,-504.455,30.0165,-289.038,-64.8203,-62.841,-37.3669,1914.72,4.23149,-543.401,18.2556,-314.441,4.26756,995.217,
4.26,-7.31047,2011.45,146.129,-479.323,29.6668,-325.701,-63.0252,-57.9784,-37.5035,2228,4.25271,-679.501,18.4551,-355.374,4.22134,1006.88,
4.265,-6.91348,1596.79,147.395,-495.203,29.3061,-279.083,-61.9616,-59.016,-37.6318,1887.89,4.27501,-525.101,18.6426,-316.763,4.17204,1033.26,
4.27,-6.47203,1985.34,148.751,-479.146,28.9405,-319.461,-60.8779,-57.6192,-37.7513,2231.08,4.29707,-681.276,18.8162,-351.814,4.12111,1033.51,
4.275,-5.99013,1594.46,150.191,-481.408,28.5714,-273.252,-64.857,-61.9308,-37.8633,1883.3,4.3177,-516.304,18.9747,-324.999,4.06959,1069.2,
4.28,-5.46921,1949.49,151.715,-455.274,28.2026,-321.754,-64.033,-59.3057,-37.9669,2190.33,4.33639,-673.859,19.1159,-347.132,4.01839,1068.97,
4.285,-4.91441,1680.66,153.32,-469.052,27.8339,-271.455,-65.3135,-62.2256,-38.062,1928.27,4.35246,-541.513,19.2384,-332.494,3.96831,1118.24,
4.29,-4.33705,1711.42,154.993,-446.626,27.4709,-301.152,-64.2134,-61.3384,-38.1487,1962.3,4.36536,-570.92,19.341,-325.876,3.92051,1112.08,
4.295,-3.75251,1892.23,156.739,-461.074,27.1067,-301.782,-63.2367,-59.5649,-38.2264,2139.16,4.3766,-626.338,19.423,-348.811,3.87577,1129,
4.3,-3.15862,1570.48,158.536,-436.568,26.7497,-279.206,-66.7256,-63.9313,-38.2946,1844.24,4.38696,-524.793,19.4842,-313.382,3.83284,1156.32,
4.305,-2.55332,1866.3,160.378,-420.897,26.3904,-313.44,-65.84,-60.6929,-38.3538,2090.97,4.39458,-606.404,19.5244,-355.449,3.78965,1177.89,
4.31,-1.94714,1641.13,162.252,-426.178,26.0353,-289.733,-67.4052,-64.5411,-38.4022,1918.57,4.40015,-557.234,19.5437,-320.691,3.74765,1189.54,
4.315,-1.34977,1656.99,164.141,-417.906,25.6853,-283.302,-66.7743,-62.3873,-38.439,1890.44,4.40394,-514.862,19.5422,-330.714,3.70654,1215.38,
4.32,-0.766376,1823.8,166.041,-431.856,25.3333,-292.428,-65.3799,-60.0426,-38.4652,2071.69,4.40598,-609.244,19.5208,-340.029,3.66693,1221.94,
4.325,-0.206066,1621.64,167.931,-410.196,24.9843,-289.196,-66.0741,-62.9967,-38.4811,1872.73,4.40636,-496.157,19.4804,-332.926,3.62865,1254.5,
4.33,0.326733,1682.83,169.802,-397.931,24.6368,-288.612,-66.3307,-62.4243,-38.4877,1957.49,4.40428,-558.267,19.422,-329.332,3.59181,1262.36,
4.335,0.821709,1701.36,171.641,-405.479,24.2929,-293.853,-66.1778,-61.4652,-38.4854,1915.26,4.40041,-531.134,19.3473,-334.297,3.55556,1295.88,
4.34,1.27343,1558.87,173.444,-384.012,23.9535,-277.317,-66.6309,-62.9881,-38.4754,1845.31,4.39403,-496.518,19.2574,-320.54,3.52054,1305.98,
4.345,1.68393,1801.12,175.206,-405.294,23.6111,-302.056,-66.498,-61.2793,-38.4579,2004.44,4.38558,-593.932,19.1543,-335.62,3.48582,1330.47,
4.35,2.0435,1502.16,176.914,-373.508,23.2793,-270.75,-67.3923,-63.5492,-38.4339,1753.92,4.37453,-423.252,19.0394,-322.279,3.45176,1349.52,
4.355,2.35979,1762.28,178.58,-394.783,22.9423,-299.378,-67.2074,-61.4699,-38.4041,2012.4,4.36115,-604.405,18.9144,-334.041,3.41811,1362.27,
4.36,2.62598,1552.96,180.103,-380.343,22.6165,-267.804,-67.5675,-63.5406,-38.3693,1779.29,4.34506,-433.902,18.7807,-327.4,3.38498,1388.63,
4.365,2.83112,1639.11,181.667,-362.278,22.28,-289.96,-67.8869,-63.404,-38.3304,1892.69,4.3262,-532.872,18.6399,-324.923,3.35158,1400.57,
