time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,knee_angle_r,knee_angle_r_id,knee_adduction_r,knee_adduction_r_id,ankle_angle_r,ankle_angle_r_id,hip_flexion_l,hip_flexion_l_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,knee_angle_l,knee_angle_l_id,knee_adduction_l,knee_adduction_l_id,ankle_angle_l,ankle_angle_l_id,
0.235,1.57591,3.23632,10.1208,5.75801,-6.61876,-3.21964,5.63216,1.15719,-1.63883,-1.43556,-5.25947,-13.0926,8.09093,2.19582,14.6416,17.6171,-6.71029,-2.60613,-2.17851,-14.0016,2.04621,16.3051,-16.6411,-29.45,
0.24,0.906011,3.22483,10.0131,5.8352,-6.5493,-3.21916,5.10524,1.25711,-1.78903,-1.38321,-5.25001,-13.0518,6.95157,2.12326,15.0381,17.6991,-6.66515,-2.61564,-2.302,-14.0338,1.88423,16.3272,-16.7448,-29.4825,
0.245,0.558945,3.19365,10.0411,5.93597,-6.54398,-3.21851,4.57838,1.34778,-1.93134,-1.33114,-5.28496,-12.9995,6.08204,2.0742,15.4147,17.7584,-6.66029,-2.62318,-2.43079,-14.0437,1.70957,16.3479,-16.8437,-29.5098,
0.25,0.51052,3.12199,10.1189,6.05407,-6.60738,-3.21937,4.12129,1.41916,-2.04206,-1.28793,-5.32135,-12.9327,5.78383,2.05002,15.8766,17.799,-6.78222,-2.63027,-2.56205,-14.0321,1.52918,16.3664,-16.9458,-29.5318,
0.255,0.649818,3.01801,10.1403,6.16909,-6.6726,-3.22469,3.77373,1.47881,-2.11438,-1.25589,-5.34837,-12.8467,5.9599,2.03987,16.2796,17.8269,-6.96858,-2.63746,-2.69296,-14.0043,1.35116,16.3784,-17.0422,-29.5455,
0.26,0.850019,2.88801,10.0702,6.25896,-6.69438,-3.23297,3.57011,1.53305,-2.13913,-1.23679,-5.35388,-12.7418,6.28586,2.02435,16.4503,17.8302,-7.12564,-2.64319,-2.82072,-13.9645,1.18346,16.3706,-17.1124,-29.5467,
0.265,1.05602,2.72378,9.89619,6.31433,-6.68754,-3.23725,3.51834,1.57501,-2.11738,-1.23385,-5.33641,-12.6298,6.83935,1.97203,16.4486,17.7947,-7.28461,-2.64677,-2.94216,-13.9233,1.03395,16.3248,-17.1527,-29.5338,
0.27,1.27406,2.52946,9.66626,6.32354,-6.68026,-3.23338,3.59577,1.60406,-2.06951,-1.25374,-5.33189,-12.5247,7.87048,1.87727,16.4511,17.7359,-7.52303,-2.65127,-3.05413,-13.8892,0.909358,16.2472,-17.1732,-29.5041,
0.275,1.35584,2.32425,9.35834,6.28266,-6.59489,-3.22076,3.79887,1.62417,-1.98069,-1.29442,-5.29593,-12.4401,8.65292,1.73699,16.1112,17.6915,-7.63321,-2.659,-3.1529,-13.8791,0.815547,16.156,-17.1463,-29.4625,
0.28,1.16959,2.14161,8.8179,6.18439,-6.39826,-3.20238,4.12962,1.64978,-1.81107,-1.34937,-5.11752,-12.3806,9.28681,1.54008,15.578,17.6864,-7.65327,-2.67161,-3.235,-13.9097,0.756918,16.0604,-17.0993,-29.4167,
0.285,1.55754,1.9942,8.80213,6.03196,-6.36801,-3.18024,4.43008,1.68504,-1.71396,-1.41714,-5.12074,-12.3471,10.3328,1.28879,15.2846,17.7306,-7.74396,-2.68825,-3.29811,-13.9854,0.735233,15.9661,-17.0439,-29.3712,
0.29,1.42579,1.87925,8.55882,5.8511,-6.34992,-3.15707,4.76055,1.72117,-1.56687,-1.49068,-5.03645,-12.3398,11.2611,1.01185,15.0931,17.8175,-7.89671,-2.70915,-3.34089,-14.0906,0.749555,15.8782,-16.9759,-29.3226,
0.295,1.22212,1.78897,8.31363,5.66952,-6.27189,-3.13343,5.01888,1.74891,-1.46169,-1.56092,-4.99848,-12.3544,11.4876,0.74838,14.5223,17.9385,-7.89444,-2.73711,-3.36235,-14.2051,0.796223,15.806,-16.8819,-29.2661,
0.3,0.838145,1.71255,8.00358,5.50825,-6.15093,-3.11075,5.18935,1.7599,-1.38012,-1.62263,-4.96545,-12.383,11.6324,0.523103,14.0243,18.0655,-7.86171,-2.77379,-3.36492,-14.3094,0.867943,15.7498,-16.7762,-29.1983,
0.305,0.657781,1.64292,7.75788,5.38447,-6.02525,-3.09201,5.15514,1.75008,-1.35916,-1.67176,-4.97053,-12.415,11.8773,0.342581,13.6293,18.1632,-7.80394,-2.81415,-3.35314,-14.3901,0.955041,15.6978,-16.667,-29.119,
0.31,0.425436,1.58099,7.44631,5.30808,-5.8715,-3.08109,5.2022,1.72086,-1.33278,-1.70061,-4.92949,-12.4433,11.8058,0.197488,13.1628,18.2102,-7.69414,-2.85041,-3.32183,-14.4465,1.05016,15.6396,-16.5705,-29.0349,
0.315,0.66752,1.52099,7.4201,5.263,-5.88302,-3.07884,5.05224,1.67872,-1.3905,-1.71886,-4.96463,-12.4604,12.0874,0.0625031,13.0453,18.2122,-7.71732,-2.8759,-3.28487,-14.495,1.13938,15.5707,-16.5082,-28.9581,
0.32,0.85667,1.45924,7.17421,5.22772,-5.79005,-3.08396,4.99927,1.63297,-1.44703,-1.73708,-4.95954,-12.4581,12.1078,-0.0704154,12.7498,18.176,-7.65604,-2.89186,-3.2432,-14.5403,1.21371,15.4901,-16.4685,-28.8888,
0.325,1.00361,1.40033,6.86096,5.18464,-5.80498,-3.09185,4.71853,1.59366,-1.53063,-1.7612,-4.92043,-12.4325,12.4496,-0.193033,12.7575,18.1134,-7.75766,-2.90186,-3.20884,-14.5817,1.26214,15.4067,-16.4814,-28.8268,
0.33,1.58669,1.33741,6.75446,5.13995,-5.7236,-3.09825,4.50932,1.55631,-1.65069,-1.79037,-4.89049,-12.388,12.5554,-0.29826,12.5219,18.0499,-7.67423,-2.90868,-3.18682,-14.625,1.27751,15.3328,-16.4872,-28.7758,
0.335,1.42308,1.25488,6.09698,5.10942,-5.5429,-3.10069,4.41711,1.50898,-1.74604,-1.82413,-4.84733,-12.3281,11.7516,-0.399401,11.8808,18.0158,-7.41629,-2.91539,-3.18489,-14.6869,1.25494,15.2738,-16.4738,-28.7414,
0.34,1.28138,1.1459,5.39087,5.09646,-5.29263,-3.09695,4.4396,1.44878,-1.80629,-1.86256,-4.69228,-12.254,11.0016,-0.513844,11.2478,18.0323,-7.11002,-2.92649,-3.20722,-14.7797,1.19296,15.2299,-16.4824,-28.7219,
0.345,1.50197,1.00297,5.07392,5.09719,-5.35044,-3.08534,4.56979,1.37315,-1.86892,-1.90932,-4.57711,-12.1709,11.2171,-0.65903,11.3458,18.1047,-7.18516,-2.94202,-3.25553,-14.9055,1.09481,15.1969,-16.555,-28.7076,
0.35,1.86521,0.816372,5.00416,5.11086,-5.43653,-3.06635,4.82501,1.27761,-1.91821,-1.97004,-4.49713,-12.0836,11.0305,-0.83373,11.2932,18.2142,-7.1746,-2.96272,-3.32866,-15.0498,0.967067,15.1683,-16.6409,-28.6825,
0.355,2.30103,0.583823,5.04504,5.14829,-5.6017,-3.03943,5.16875,1.15637,-1.9641,-2.04031,-4.47504,-12.0002,11.2306,-1.02622,11.5641,18.3362,-7.30697,-2.98984,-3.42732,-15.1971,0.81775,15.139,-16.744,-28.6399,
0.36,2.72326,0.322551,5.17013,5.20894,-5.74949,-3.00617,5.60884,1.01571,-1.98471,-2.11147,-4.47867,-11.9232,11.1492,-1.21757,11.748,18.4582,-7.37162,-3.01944,-3.54415,-15.3351,0.659045,15.1122,-16.8396,-28.5801,
0.365,2.96368,0.0604202,5.27962,5.26094,-5.86115,-2.973,6.22182,0.876246,-1.95648,-2.18757,-4.48079,-11.8484,10.9377,-1.39603,11.9715,18.5691,-7.42012,-3.04553,-3.65725,-15.4558,0.50733,15.0875,-16.9203,-28.5064,
0.37,3.13733,-0.160712,5.41789,5.286,-5.89139,-2.94625,6.82623,0.759783,-1.90779,-2.26038,-4.49366,-11.777,10.5533,-1.56145,12.045,18.6643,-7.38824,-3.06574,-3.77397,-15.5588,0.365793,15.0621,-16.9761,-28.4231,
0.375,3.16606,-0.324265,5.59366,5.29319,-5.93155,-2.92617,7.20503,0.670796,-1.86203,-2.32301,-4.52162,-11.7119,10.2493,-1.71722,12.3081,18.7619,-7.39657,-3.08014,-3.89893,-15.653,0.238592,15.0425,-17.0202,-28.3374,
