time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,ankle_angle_r,ankle_angle_r_id,hip_flexion_l,hip_flexion_l_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,knee_angle_l,knee_angle_l_id,ankle_angle_l,ankle_angle_l_id,
3.685,-559.048,-94.9962,-0.222359,24.6107,308.165,1.6998,-33.7991,-36.3274,-427.896,-120.486,175.336,26.5935,92.7221,-14.571,54.4801,48.4366,-61.7148,-60.7312,
3.69,-549.798,-97.303,2.61092,24.8324,308.728,2.69206,-40.879,-36.2716,-423.546,-126.568,232.099,28.4691,77.5407,-14.8672,51.6679,49.0903,-60.9482,-60.5515,
3.695,-540.296,-96.108,5.41091,22.5088,309.015,2.2455,-34.4558,-35.1438,-423.959,-129.387,190.028,26.6639,92.7462,-14.908,48.6948,48.9101,-60.4377,-60.7978,
3.7,-530.963,-98.297,8.4088,21.3288,308.972,3.69275,-33.7961,-33.8734,-426.047,-130.313,232.847,29.557,80.0884,-15.3245,45.5872,46.26,-58.3749,-58.4688,
3.705,-521.792,-101.506,11.5764,20.3074,308.598,5.19075,-32.6697,-34.1697,-424.283,-133.864,201.858,32.6682,92.1277,-15.5847,42.3448,45.8861,-58.3222,-58.8129,
3.71,-512.024,-97.3154,38.6601,19.6388,304.785,3.21422,-35.3077,-32.724,-426.478,-135.884,230.164,34.0287,86.8882,-15.6243,39.6445,43.9022,-56.5886,-57.7008,
3.715,-502.858,-97.3391,47.5976,18.1507,303.41,3.90755,-31.0489,-32.6689,-431,-136.181,226.632,34.0057,92.2845,-15.4479,37.7448,41.4597,-55.9667,-56.8637,
3.72,-494.138,-96.9015,51.6104,15.6494,302.213,4.29664,-30.1959,-32.0978,-430.993,-140.667,231.548,38.0832,94.4411,-15.387,34.0782,40.8187,-54.8956,-56.7093,
3.725,-485.274,-98.8274,54.5027,16.2389,301.008,4.35102,-31.73,-31.2766,-431.072,-142.563,237.331,39.5537,95.9476,-15.0588,31.9652,38.8194,-54.669,-55.8174,
3.73,-479.15,-101.074,57.279,16.2746,299.63,4.82965,-29.6071,-30.0206,-429.098,-143.274,243.08,39.6399,96.8992,-14.608,28.7436,36.2828,-54.5983,-55.4087,
3.735,-472.621,-105.262,59.4871,16.9667,298.267,5.06022,-29.59,-31.5711,-426.417,-145.377,248.765,42.3919,97.4953,-14.1946,25.2623,33.8221,-54.9992,-54.7501,
3.74,-466.779,-108.563,61.4152,15.5548,296.924,5.25168,-30.8835,-31.1721,-423.135,-147.474,254.269,42.2181,97.8594,-13.3277,21.5397,31.4353,-54.5228,-53.9787,
3.745,-459.518,-112.793,11.6251,14.2423,302.558,5.85632,-29.8091,-30.5722,-419.317,-148.533,259.801,47.9436,98.0059,-14.5335,17.7008,28.7233,-53.7337,-53.6833,
3.75,-453.132,-117.824,7.32937,15.1805,302.016,5.36301,-33.1889,-31.063,-417.09,-152.248,263.14,55.2968,98.6082,-15.6431,14.0022,27.8378,-52.8418,-54.2375,
3.755,-449.168,-123.332,7.36232,12.9177,301.176,7.92076,-31.5818,-32.6183,-415.386,-153.118,265.888,54.3396,99.2827,-14.4886,10.6741,23.7558,-52.1906,-54.4731,
3.76,-445.486,-124.745,8.75143,12.5442,300.318,7.28714,-33.406,-31.0181,-413.691,-153.644,268.728,55.3078,99.8259,-14.3528,7.8207,19.0237,-51.0334,-53.3236,
3.765,-443.059,-129.695,9.57432,11.4129,299.822,8.05697,-31.385,-31.3701,-412.123,-157.846,271.271,59.2086,100.309,-14.6272,5.49364,17.2233,-50.9709,-54.5694,
3.77,-440.841,-131.428,10.5815,8.08565,299.46,8.87723,-32.0379,-32.1981,-411.088,-160.946,273.097,59.9645,100.875,-15.1737,3.64641,14.5382,-52.397,-54.3122,
3.775,-439.739,-134.367,10.8799,6.91041,299.516,9.77083,-30.7921,-31.2146,-410.034,-164.539,274.967,62.5625,101.292,-14.4097,2.25267,11.2189,-52.8559,-54.6353,
3.78,-438.618,-136.788,11.4356,5.34046,299.713,10.411,-30.9759,-29.8422,-409.751,-166.508,275.798,63.3172,101.896,-14.8937,1.31547,7.3788,-56.1021,-54.4275,
3.785,-438.471,-140.661,11.3035,5.31875,300.338,11.214,-30.0884,-30.5204,-409.351,-172.464,276.598,70.0161,102.337,-16.3462,0.865761,6.43987,-54.7569,-55.9515,
3.79,-438.062,-141.839,11.6059,4.61397,301.059,11.2376,-29.9853,-29.3229,-409.727,-173.995,276.27,63.3091,103.004,-14.2884,0.589535,1.38737,-57.8074,-53.9791,
3.795,-438.524,-143.042,11.2581,7.41262,302.187,10.0675,-29.0624,-29.4243,-409.886,-179.952,275.916,63.3022,103.484,-13.1223,0.718121,0.500425,-54.6868,-54.8928,
