time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,knee_angle_r,knee_angle_r_id,ankle_angle_r,ankle_angle_r_id,
2.485,-17.5715,-82.4889,-28.4536,-92.7367,-12.9977,24.5983,-33.8377,-49.5943,-143.533,-251.234,
2.49,-19.252,-79.0737,-39.699,-95.9701,-7.38407,24.9771,-18.1855,-43.1196,-132.348,-242.523,
2.495,-13.1347,-75.7545,-27.8026,-98.7079,-11.3368,25.0236,-3.81953,-35.2501,-118.935,-230.288,
2.5,-9.51914,-71.7486,-23.3827,-101.137,-11.3132,24.7926,8.03523,-26.5787,-104.235,-214.815,
2.505,-5.67096,-66.5977,-18.6275,-103.277,-10.5827,24.3243,18.2969,-17.6565,-89.0162,-196.505,
2.51,-1.8943,-60.239,-18.5801,-104.99,-9.26761,23.635,26.5281,-8.94736,-72.9644,-175.884,
2.515,3.13981,-53.0339,-12.2067,-106.031,-8.06045,22.7214,32.5098,-0.780266,-57.7406,-153.605,
2.52,7.80177,-45.8033,-8.00875,-106.119,-6.86471,21.5738,36.5892,6.72463,-43.0967,-130.45,
2.525,13.1494,-39.7092,-3.65282,-104.94,-5.33869,20.1821,37.7725,13.6585,-28.6648,-107.305,
2.53,18.622,-35.8604,-0.334421,-102.045,-4.07731,18.5264,37.4713,20.1677,-15.6705,-85.1013,
2.535,24.3835,-34.9694,3.84028,-96.7903,-2.58473,16.5704,37.1298,26.301,-8.38449,-64.7302,
2.54,30.1788,-37.262,6.63835,-88.4543,-1.57403,14.2795,36.7014,31.9884,-1.58444,-46.9234,
