time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,knee_angle_r,knee_angle_r_id,ankle_angle_r,ankle_angle_r_id,
4.66,-85.5196,-85.2892,-41.557,-88.7216,-1.31227,14.049,-32.961,-60.6516,-176.862,-280.506,
4.665,-71.1507,-68.8423,-27.3645,-86.9299,-0.729965,13.6457,-25.4346,-58.5824,-175.575,-285.22,
4.67,-62.414,-52.8107,-34.5527,-83.3538,-2.63003,12.8528,-15.171,-54.6626,-173.366,-286.231,
4.675,-44.3471,-37.2504,-14.2407,-78.397,-0.693653,11.7985,-3.61162,-49.1844,-170.269,-283.249,
4.68,-28.3577,-22.3949,-1.47426,-72.4599,0.857933,10.6113,9.15031,-42.4745,-167.194,-276.089,
4.685,-13.3934,-8.63669,6.97407,-65.915,1.98625,9.40203,22.5938,-34.8688,-162.844,-264.701,
4.69,1.43822,3.46795,14.2103,-59.0703,2.82669,8.2535,35.9084,-26.6674,-156.719,-249.212,
4.695,16.6949,13.2929,20.1697,-52.131,3.89476,7.21526,47.6869,-18.1305,-148.049,-229.958,
4.7,32.5112,20.3466,24.2803,-45.2276,4.8413,6.30827,56.8128,-9.53406,-136.071,-207.509,
4.705,48.1374,24.4458,25.5506,-38.4907,5.22438,5.53369,62.3933,-1.22206,-122.199,-182.668,
4.71,64.396,25.7457,24.6591,-32.1286,5.36633,4.88388,64.4687,6.39882,-101.944,-156.432,
4.715,80.7249,24.6227,21.323,-26.5129,5.032,4.35798,64.2346,12.9242,-72.3526,-129.928,
4.72,96.705,21.4831,15.5631,-22.1374,4.08534,3.96018,63.0156,18.0578,-63.0621,-104.303,
4.725,112.092,16.5704,8.3541,-19.5921,2.41394,3.70583,58.2056,21.7156,-44.2494,-80.6033,
4.73,126.765,9.96282,-0.107416,-19.4528,0.0630786,3.61357,47.4921,24.0352,-30.9954,-59.6498,
4.735,140.484,1.71695,-9.00779,-22.1567,-2.6917,3.69078,40.9037,25.2932,-26.6875,-41.9583,
4.74,153.375,-8.04993,-17.2206,-27.8788,-5.59439,3.91901,29.1483,25.8377,-24.8495,-27.7312,
4.745,165.771,-19.1393,-23.7767,-36.6022,-6.8688,4.26708,22.8785,26.0236,-24.2921,-16.8891,
4.75,175.891,-4.35961,-30.7284,-54.9407,-11.9869,4.05737,13.0451,9.422,-23.8168,2.67593,
4.755,186.212,-22.4744,-32.8999,-67.1526,-13.3311,4.59844,6.28586,13.0459,-23.578,2.34163,
