mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,
glmax3_l,0.0746463,0.326656,0.280718,0.0674582,0,0,
glmed1_l,0.00196297,0.00492175,0,0.0100506,0.148137,0.00878737,
glmed2_l,0.00885654,0.0262055,0.00116705,0.00185613,0.197047,0.0290745,
glmed3_l,0.099963,0.0299922,0.0233204,0.0076861,0.0259624,0.0104063,
glmin1_l,0.00210854,0.0147233,0.00619465,0.0116949,0.363082,0.00171231,
glmin2_l,0.000582771,0.0346355,0.00775753,0,0.197396,0.0053066,
glmin3_l,0.0123716,0.091446,0.020317,0,0.252326,0,
grac_l,0.0216009,0.0107151,0.233052,0.273709,0.22921,0.187835,
iliacus_l,0,0,0,0.0107332,0.0606169,0.153132,
perbrev_l,0.0498094,0.129935,0.00585796,0.0076657,0.485879,0.0564513,
perlong_l,0.0557976,0.0883243,0.0795436,0.0101053,0.01129,0.119141,
piri_l,0.0723093,0.141045,0.0546781,0.0101923,0.0589752,0.00103963,
psoas_l,0,0.00223745,0,0.00544786,0,0.181791,
recfem_l,0,0.0853478,0.077029,0,0.0382885,0.450263,
sart_l,0.0115303,0,0,0.0147568,0,0.0644256,
semimem_l,0.212783,0.069745,0.297141,0.0725791,0.431392,0.00586803,
semiten_l,0.212783,0.069745,0.297141,0.0725791,0.431392,0.00586808,
soleus_l,0.0376621,0.215183,0.032633,0.00554348,0.465467,0,
tfl_l,0.196756,0.124916,0.19782,0.276847,0.00798319,0.00705937,
tibant_l,0.218311,0.00171049,0.282018,0.711452,0.0395398,0.00154135,
tibpost_l,0.0633963,0.0840846,0.0787012,0.0803944,0.0739534,0.0628791,
vasint_l,0.0609588,0.50218,0.0974485,0.0256941,0.000819229,0.000181732,
vaslat_l,0.0409739,0.603853,0.0819262,0.0430327,0,0,
vasmed_l,0.0626123,0.427419,0.121839,0.00153099,0.00305721,0.0019851,
