name,r,a,s
LHEE,-131.47695256025963,23.498504434827904,-84.91510685889632
LD5M,28.523196721540717,6.271990272533365,-144.12551749831175
LTOE,79.03598141187696,16.082801529152906,-85.21261211200007
ASIS_r,0.587889628897077,926.1264972744661,126.22127689149839
ASIS_l,0.58789,926.1259990976429,-126.221
PSIS_r,-137.95,947.5379990976429,39.8034
PSIS_l,-137.95,947.5379990976429,-39.8034
knee_r_med,-56.27649905685967,447.0849990529561,40.00000048502416
knee_l_med,-56.27649905685967,447.0849990529561,-40.00000048502416
knee_r_lat,-56.27649905685967,447.08499914290314,115.00000048502416
knee_l_lat,-56.27649905685967,447.08499914290314,-115.00000048502416
tibia_l_med,-55.62395326845218,410.3599789090675,-45.49985904680084
tibia_r_med,-55.62395315131608,410.35997891041023,45.499859056247736
tibia_l_lat,-55.622809923526134,412.3598664234398,-115.66886224353019
tibia_r_lat,-55.62280988273094,412.35986643230285,115.66886225276399
ankle_l_med,-51.62930060599454,65.45051253176443,-46.85421453116253
ankle_r_med,-51.629261495606784,65.4504767717604,46.85424679405887
ankle_l_lat,-68.098042342707,61.32619747094742,-115.6684850363544
ankle_r_lat,-68.09804430111252,61.32618914215454,115.66848507083813
femur_l_center_in_pelvis,-56.275999999999996,851.5099990976429,-77.25999999999999
femur_l_center,-56.275999999999996,851.5099990976429,-77.25999999999999
femur_r_center_in_pelvis,-56.275999999999996,851.5099990976429,77.25999999999999
femur_r_center,-56.275999999999996,851.5099990976429,77.25999999999999
patella_l_in_femur_l,-11.965999023429694,432.74999920097616,-77.26000050221603
patella_l,-11.966800912863,432.7476331732726,-77.26000050221886
patella_r_in_femur_r,-11.965999023429694,432.74999920097616,77.26000050221603
patella_r,-11.966800859315805,432.7476333312549,77.26000050221886
knee_l_center_in_femur_l,-56.2764590568592,447.08479909612447,-75.99474048502438
knee_l_center,-52.68599230505143,445.44458172597047,-76.99461160358236
knee_r_center_in_femur_r,-56.27649905685967,447.0849990961243,75.99470048502415
knee_r_center,-52.685992336216486,445.44458174048697,76.99461161218807
tibia_l_center,-55.62338159598916,411.3599226662537,-80.58436064516552
tibia_r_center,-55.62338151702351,411.3599226713567,80.58436065450584
pelvis_origin_in_ground,0.58789,926.126,0.0
ilium_r,-68.681055,1010.1893973700213,93.12606217949435
ilium_l,-68.6811,1010.1813464717656,-93.12610000000001
isch_spine_r,-109.19377362980731,860.2081218980939,50.20121974964064
isch_spine_l,-109.194,860.2079990976429,-50.2012
isch_tuber_r,-115.0,825.999999097643,46.0
isch_tuber_l,-115.0,825.999999097643,-46.0
isch_infer_r,-74.0,796.999999097643,35.0
isch_infer_l,-74.0,796.999999097643,-35.0
pub_infer_c,-25.31049184792282,825.346543146272,0.0
gr_troch_as_r,-56.92222096874793,838.1088991551043,126.42920001607183
gr_troch_as_l,-56.92222053135186,838.1089009836853,-126.42923700425318
gr_troch_lat_r,-78.27599994169869,826.5099991182954,137.2600000299823
gr_troch_lat_l,-78.27599994169869,826.5099991182954,-137.2600000299823
femur_r_midshaft_anter,-28.2759995335895,651.5099991989192,107.26000023985864
femur_r_midshaft_poster,-49.072881165510935,651.5099991504197,107.26000023985864
femur_l_midshaft_anter,-28.2759995335895,651.5099991989192,-107.26000023985864
femur_l_midshaft_poster,-50.2759995335895,651.5099991476139,-107.26000023985864
patella_sup_r,-10.74843140551753,484.911298413334,78.70059947645967
patella_sup_l,-10.748417421328478,484.9117757884589,-78.70063874802207
patella_lat_r,-8.008262001991723,468.7522159902274,104.26000045903879
patella_med_r,-11.608259614759808,468.7480700764459,50.26000045904377
patella_lat_l,-8.008262091019228,468.752215836146,-104.2600004590388
patella_med_l,-11.608259703783228,468.74806991881695,-50.26000045904377
patella_r_anter,3.1774359077873413,468.4351419655752,76.36341920530482
patella_l_anter,3.177403157852969,468.4414972963645,-76.36340045941145
ankle_r_center,-59.86363289276982,63.38843295589408,81.26140593231133
ankle_l_center,-59.863654132522214,63.388432965941874,-81.2613558902039
talus_r_center_in_tibia,-62.7059726325942,45.44508174752793,76.99411943372559
talus_l_center_in_tibia,-62.705973935692995,45.44508176643419,-76.99411939222072
tibia_r_midshaft_anter,-30.183911817233092,245.44343910188456,88.47425643555124
tibia_r_midshaft_poster,-55.87507443318034,245.44473992049083,77.53596944716104
fibula_r_midshaft_anter,-66.69559142923885,245.44523914609624,103.2930993448368
tibia_l_midshaft_anter,-30.18391244180636,245.443439011079,-88.47425638317942
tibia_l_midshaft_poster,-55.54761352862142,245.44472339252914,-77.63955555081932
fibula_l_midshaft_anter,-66.695573411021,245.44523716737612,-104.54579932857709
fibula_r_as,-58.10006544507779,382.09439355448967,95.89297286908233
fibula_l_as,-58.27398280844356,382.8621101370736,-96.7421677036837
tibia_r_epiph_yellow_posteriormost,-80.24428138513608,409.3611525013061,80.58472354727066
