name,r,a,s,body,group
vaslat_r-P1,125.8368182106642,-42.395404295937624,518.3567290381072,femur_r,muscle
vaslat_r-P2,187.06121040903963,-2.305721732787788,448.21600671083297,femur_r,muscle
vaslat_r-P3,161.50355026018224,51.648820276139304,329.6814237439885,patella_r,muscle
vaslat_r-P4,166.0471696301829,40.28999028017279,294.53362634453697,patella_r,muscle
vasmed_l-P1,-82.57620140374638,-10.133438432472758,487.41191944267666,femur_l,muscle
vasmed_l-P2,-142.9139243865793,34.61060886387713,421.095586609219,femur_l,muscle
vasmed_l-P3,-157.68026328686392,55.62445498700254,322.6502022692848,patella_l,muscle
vasmed_l-P4,-158.24824424943654,31.770859042182565,282.8918579373858,patella_l,muscle
vasmed_r-P1,93.35052476078272,48.24116837675683,493.13654796720994,femur_r,muscle
vasmed_r-P2,80.5678845589282,43.651632539054845,427.7564533263121,femur_r,muscle
vasmed_r-P3,160.36765184887918,52.21678896446247,332.69480280558855,patella_r,muscle
vasmed_r-P4,164.91129815310705,40.85797619668301,294.5336262694764,patella_r,muscle
