time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,synergy9,synergy10,
0.825,0.0616954,0.037331,0.520302,6.73834e-05,0.0513428,0.627023,0.417298,0.345236,0.582723,0.385819,
0.83,0.0944446,0.135537,0.566164,0.00122869,0,0.513782,0.446803,0.25852,0.562774,0.346182,
0.835,0.0643798,0.178258,0.676306,0,0,0.614104,0.386725,0.230147,0.483682,0.555168,
0.84,0.0665068,0.259963,0.623749,0,0,0.481234,0.371336,0.408807,0.698502,0.314814,
0.845,0.0364824,0.279462,0.560138,0,0.00390786,0.640027,0.33896,0.475692,0.622934,0.376296,
0.85,0.0336917,0.111689,0.549209,0,0.0166377,0.589829,0.486715,0.405166,0.815662,0.513677,
0.855,0.0286082,0.246002,0.672848,0.000562826,0,0.513471,0.418335,0.301075,0.655077,0.478276,
0.86,0,0.0909292,0.536772,0.000315252,0.0148384,0.606052,0.54018,0.356606,0.829815,0.58862,
0.865,0,0.125269,0.721645,0,0.00977558,0.522032,0.422063,0.410033,0.623005,0.634249,
0.87,0.00257938,0.314163,0.492355,0,0.0541932,0.599668,0.633855,0.359975,0.752227,0.565927,
0.875,0.0176175,0.109365,0.584144,0.0108125,0.0014123,0.582504,0.344277,0.397575,0.483028,0.583123,
0.88,0.0155209,0.28472,0.588225,0,0,0.533874,0.250954,0.386242,0.409825,0.326378,
0.885,0.01555,0.23126,0.518943,0.000148163,0.000752182,0.500883,0.341546,0.312227,0.450904,0.443089,
0.89,0.0177232,0.255393,0.539257,0.00119085,0.000808944,0.53858,0.290438,0.345224,0.413475,0.348624,
0.895,0.0382414,0.142883,0.475791,0,0.00392243,0.62864,0.409165,0.327472,0.562929,0.589536,
0.9,0.061579,0.169131,0.439799,0,0.067821,0.745821,0.405902,0.425919,0.687547,0.581886,
0.905,0.0222874,0.213775,0.644794,0,0.000743009,0.467084,0.314782,0.422155,0.514919,0.610911,
0.91,0.0104087,0.237513,0.605495,0,0.0579712,0.424727,0.503957,0.429017,0.694701,0.729839,
0.915,0.018796,0.246529,0.619104,0,0.00418061,0.461114,0.500711,0.436871,0.616666,0.571514,
0.92,0,0.195498,0.494114,0.000323512,0.00802743,0.549207,0.461662,0.353248,0.590328,0.602376,
0.925,0,0.132537,0.462814,0.000686119,0.0268668,0.66704,0.292589,0.430881,0.432629,0.426724,
0.93,0.0093196,0.178905,0.521202,0.00122754,0,0.591658,0.530313,0.309481,0.270583,0.373189,
0.935,0.0367509,0.170243,0.488646,0.00142979,0.0570156,0.584216,0.331529,0.436674,0.405373,0.371482,
0.94,0.0246439,0.29985,0.477938,0.00644025,0,0.568791,0.467749,0.360269,0.402703,0.367165,
0.945,0.0713935,0.137944,0.486483,0.00276172,0.036117,0.634768,0.462252,0.416866,0.378467,0.375364,
0.95,0.0469973,0.207758,0.543931,0.00666759,0.0209021,0.700696,0.35139,0.381269,0.310403,0.335485,
0.955,0.0669964,0.157156,0.51307,0.0100703,0.0596482,0.82766,0.439069,0.3432,0.330699,0.482052,
0.96,0.0532305,0.180595,0.566914,0,0.0323327,0.670748,0.397323,0.41562,0.34378,0.294217,
0.965,0.0558687,0.22228,0.460462,0.0166234,0.0290744,0.493585,0.518871,0.361817,0.390829,0.44842,
0.97,0.0351559,0.108687,0.41902,0.00341929,0.0332533,0.644254,0.407267,0.327903,0.28555,0.320685,
0.975,0.0773429,0.351557,0.283631,0.0807943,0.0609257,0.876815,0.502708,0.303196,0.361742,0.178192,
0.98,0.128174,0.136358,0.373286,0,0,0.600798,0.490061,0.377459,0.468129,0.420778,
0.985,0.172558,0.322202,0.422569,0.0102663,0,0.640699,0.46999,0.339773,0.442527,0.430931,
0.99,0.1122,0.162104,0.418604,0.0181168,0.0594303,0.467224,0.526591,0.345166,0.463166,0.500981,
0.995,0.108227,0.154322,0.425807,0,0.0497489,0.497354,0.411621,0.345912,0.33715,0.519807,
1,0.0832047,0.163928,0.340123,0.0088185,0.0951108,0.699242,0.401793,0.413938,0.232576,0.328177,
1.005,0.0934013,0.16074,0.324115,0,0.032921,0.545786,0.283957,0.334311,0.159039,0.290712,
1.01,0.10191,0.191119,0.402688,0.0406775,0.116287,0.725201,0.575572,0.292352,0.258525,0.549862,
1.015,0.0877156,0.116453,0.359689,0,0.0577497,0.763331,0.319173,0.251646,0.164315,0.384454,
1.02,0.0598231,0.167566,0.361562,0.0301358,0.0938205,0.592837,0.394786,0.211163,0.263844,0.333346,
1.025,0.095002,0.0360801,0.380591,0,0.108198,0.772603,0.209185,0.337836,0.224866,0.319423,
1.03,0.121408,0.334411,0.38335,0.0135995,0.187279,0.736254,0.463587,0.298105,0.33952,0.265565,
1.035,0.099419,0.200882,0.543061,0.00376129,0.0527559,0.618749,0.341067,0.291012,0.184973,0.3894,
1.04,0.0723117,0.0386375,0.278882,0,0.024429,1,0.527515,0.325479,0.357972,0.344499,
1.045,0.0299941,0.126491,0.402357,0,0.0951587,0.65302,0.355453,0.255813,0.270463,0.274675,
1.05,0.00045915,0.197949,0.457525,0,0.103477,0.609341,0.203587,0.222781,0.110929,0.184975,
1.055,0.0438795,0,0.283031,0.000676631,0.0285824,0.993449,0.385065,0.233213,0.259527,0.270145,
1.06,0.00678602,0.0698299,0.508221,0,0.104428,0.594074,0.25575,0.218066,0.109454,0.287848,
1.065,0,0.0974146,0.43248,0.000359814,0.143905,0.596447,0.30809,0.267033,0.277606,0.355113,
1.07,0.0124744,0.2043,0.315897,0.00559227,0.0742117,0.541609,0.448581,0.153528,0.217128,0.227051,
1.075,0.00261496,0.115066,0.476116,0,0.0849963,0.850616,0.0938348,0.205577,0.0646634,0.182961,
1.08,0.0265117,0.156308,0.452824,0,0.107348,0.629575,0.338589,0.0906419,0.0928329,0.28043,
1.085,0.0482313,0.103916,0.425871,0,0.120881,0.59762,0.364215,0.136424,0.196043,0.330307,
1.09,0.0431003,0.147814,0.494972,0.00920457,0,0.601792,0.385477,0.123143,0.187027,0.421725,
1.095,0,0.107677,0.46419,0.0125244,0.0265975,0.51425,0.313363,0.172102,0.237601,0.395975,
1.1,0,0.308303,0.433973,0.00317957,0.0879985,0.951301,0.315341,0.128431,0.143589,0.167227,
1.105,0,0.111373,0.38698,0,0.0523692,0.41794,0.2562,0.0715281,0.0724787,0.200435,
1.11,0,0.070716,0.361373,0,0.120492,0.524402,0.108544,0.149993,0.0514954,0.148336,
1.115,0,0.0889145,0.478372,0.00690651,0.104346,0.418184,0.247711,0.0675244,0.0515381,0.355193,
1.12,0.00143615,0.216452,0.439983,0,0.0386408,0.775004,0.221668,0.158903,0.0743626,0.214264,
1.125,0,0.254574,0.416164,0,0.128448,0.425979,0.313549,0.0803545,0.0944394,0.157941,
1.13,0,0.267734,0.408999,0.000170211,0.0698935,0.93383,0.2122,0.167658,0.203745,0.167698,
1.135,0,0.115981,0.40962,0.000892819,0.141447,0.364896,0.296264,0.107292,0.159353,0.293297,
1.14,0,0.160635,0.427532,0.0196168,0.145042,0.316517,0.226535,0.100668,0.0218985,0.182173,
1.145,0.000175478,0.0421821,0.33974,0,0.113673,0.564212,0.130298,0.100323,0.0322266,0.0520581,
1.15,0,0.189652,0.379869,0,0.0958443,0.62148,0.187478,0.0613775,0.0688258,0.0286608,
1.155,0,0.136605,0.350584,0,0.185262,0.562548,0.351629,0.0714473,0.135307,0.146325,
1.16,0,0.140846,0.412551,0.00162623,0.130714,0.664086,0.255726,0.0829143,0.103139,0.157199,
1.165,0,0.128135,0.424813,0.00373938,0.0772568,0.406752,0.214538,0.0395073,0.0537533,0.101734,
1.17,0,0.112358,0.374029,0,0.106526,0.399233,0.191741,0.0754946,0.0107708,0.0707177,
1.175,0.000137472,0.0801684,0.332318,0.0126144,0.183039,0.4101,0.208971,0.0543748,0.00579899,0.159905,
1.18,0,0,0.274965,0,0.107521,0.556897,0.191772,0.0347555,0.0425893,0,
1.185,0,0,0.354099,0.000882161,0.195536,0.47684,0.166991,0.0406308,0.0574321,0,
1.19,0,0.108453,0.325757,0.000442389,0.0936429,0.346249,0.211547,0.0525794,0.0280858,0.0872849,
1.195,0.000270017,0.0848,0.318734,0,0.124052,0.447684,0.214836,0.0658425,0.051056,0.0784264,
1.2,0,0.0682321,0.285626,0,0.134282,0.332337,0.16033,0.0347715,0,0.10009,
1.205,0,0.0531439,0.285928,0,0.167183,0.382026,0.092827,0.0774909,0,0.0780325,
1.21,0,0.0241161,0.208194,0,0.192896,0.403828,0.0940152,0.0208359,0.0381476,0.010926,
1.215,0,0.0955611,0.248031,0.00291878,0.173167,0.329344,0.10703,0.0316722,0.0765613,0.0681136,
1.22,0,0.108219,0.280658,0,0.122645,0.244346,0.119181,0,0.0524028,0.135887,
1.225,0,0.105512,0.242195,0,0.108879,0.250047,0.0853516,0.0541795,0,0.0960593,
1.23,0,0.0486984,0.187163,0,0.123522,0.268599,0.0600805,0.00662948,0.0227954,0.0561982,
1.235,0,0.0587799,0.201997,0,0.157054,0.332457,0.0380387,0.00331908,0.0420047,0.0755707,
1.24,0.00052206,0.0848667,0.228776,0,0.131017,0.216981,0.0507118,0,0.0444598,0.102171,
1.245,0,0.081426,0.22629,0,0.119268,0.19202,0.0266148,0.021276,0.0268211,0.0827649,
1.25,0,0.0609427,0.207554,0,0.129996,0.188356,0.0112578,0,0.00223817,0.0408762,
1.255,0,0.0223299,0.185855,2.9217e-05,0.138254,0.174121,0,0,0,0.0392343,
1.26,0,0.00251792,0.186516,0,0.151558,0.191059,0,0.00157191,0.00194564,0.0344567,
1.265,0,0.0166402,0.182678,0.000766231,0.155355,0.167709,0.00746138,0.00194505,0.00853379,0.00678638,
1.27,0,0.00912208,0.176579,0.000199303,0.165185,0.169833,0.00340433,0.000537971,0.00540034,0.00983063,
1.275,0.000113648,0.00427535,0.168776,0.00126992,0.163898,0.165342,0,0,0.00879245,0.00736929,
1.28,0,0.00199415,0.149412,0,0.163911,0.196075,0,0,0.0195199,0.00439948,
1.285,0,6.71249e-05,0.13145,0,0.174705,0.172304,0,0,0.0273142,0,
1.29,0.00028888,0,0.107972,0,0.180819,0.163875,0,0,0.0375645,7.25701e-05,
1.295,0,0,0.0898691,0,0.181962,0.17359,0,0,0.0473371,0.000128766,
1.3,0,0.244188,0.180462,0.000470671,0.10458,0.183178,0.0904614,0.159826,0,0.349364,
1.305,0.00016636,0,0,0,0.182262,0,0,0,0.073107,0,
