Alpha,Beta,Gamma,RMSE_Moments,R2_Moments,RMSE_Excitations,R2_Excitations
10,1000,100,50.83672853223135,0.6208399210199285,153.7959814360597,0.24706542501743192
10,1000,1000,50.54175091878176,0.62704468676939,43.15569579897231,0.6497288424160659
10,1000,1200,50.57906420289313,0.6259056699475833,38.867903986985404,0.6833290450814543
10,1000,1400,50.62126337422179,0.6248521879311736,35.23231873104384,0.7090712735954952
10,1000,1600,50.669147956641005,0.6240521165784684,32.33023680503744,0.7300641983174043
10,1000,1800,50.717722738216786,0.6233886606759211,29.92122158659044,0.7486885388658145
10,1000,200,50.71921853542401,0.6218669625345561,99.69381330271901,0.3143342707879394
10,1000,2000,50.777553228461905,0.6226997007207302,27.856485513816445,0.7631965469447338
10,1000,2500,50.996441003715034,0.6212117360074196,24.143503148807646,0.7917559293622607
10,1000,3000,51.19857280972505,0.6196024675668039,21.59603139070122,0.8125949481522813
10,1000,3500,51.39023872240206,0.6180948343329613,19.73021015658755,0.8309385319514437
10,1000,400,50.55578095064478,0.6314341587161465,67.30815771363017,0.45644597133070974
10,1000,4000,51.556806041884315,0.6166551738233522,18.371277873833137,0.8446595312285222
10,1000,4500,51.70746238192188,0.6200093901910801,17.191954327204183,0.8559120254757645
10,1000,5000,51.84718278078865,0.6188355926625129,16.17733495363317,0.8647116672702427
10,1000,600,50.503842185878426,0.6297223791573798,55.481858157441465,0.546832819421727
10,1000,800,50.51263800268644,0.6282870143828684,48.75202550671915,0.6079416729872228
10,100,1,50.79201472442267,0.6208063275801964,61.452962246935826,0.10279518152279572
10,100,10,64.31417200513722,0.6013991338770378,71.25994864566844,0.17746364327625883
10,100,100,63.80857761487662,0.6013666907023804,36.1152257643896,0.3269017029748637
10,100,1000,51.976667151009416,0.6010766776118723,21.612697258482626,0.6435353970492811
10,100,1200,49.3992088696836,0.602661171011818,20.568060508236844,0.6700992349146467
10,100,1400,49.56394516771658,0.6139755218458804,19.522378701304184,0.6925165900199115
10,100,1600,49.7056108767786,0.6089222163298452,18.75342274362644,0.7060835966418252
10,100,1800,49.8463084491843,0.6084556073723848,17.968210817516088,0.7201971457864766
10,100,200,63.37926482511097,0.5972823787562226,31.375251641472115,0.4179956160388134
10,100,2000,49.97931940452534,0.6080299070011179,17.331425151031116,0.7321866219941072
10,100,2500,50.23032096842003,0.6069012796638168,16.224154036936582,0.7547155180663007
10,100,3000,50.45145616837859,0.6068796176569073,14.077811030280593,0.7787468504992222
10,100,3500,50.69663068726609,0.6067118736314864,13.525909756093371,0.7926632626412465
10,100,400,61.92944273258395,0.5965604454718806,25.948957664606855,0.5095689926399939
10,100,4000,50.953092255474544,0.606300299891173,13.012393178700355,0.8063816027258269
10,100,4500,51.171552813532614,0.6111065377435516,11.326077229505154,0.8580336831344659
10,100,5000,51.35373202188991,0.6105543302959711,10.954590627925018,0.8664590038853158
10,100,600,57.681447825603904,0.599891900385036,24.024019332043107,0.568580502118475
10,100,800,54.48885392344616,0.6008925232402941,22.807255694401483,0.6119774276438836
10,10,1,70.09998491918432,0.5820556186624002,67.86783917909716,0.13937598999162595
10,10,10,67.65852459739841,0.58676479022248,42.28992614152446,0.2126662207120006
10,10,100,64.63319698573768,0.5921195021964045,31.215752476475267,0.3909143334910801
10,10,1000,53.7033782937042,0.6052046399411166,21.247984924400033,0.6493107065328015
10,10,1200,50.66825131635817,0.604793004192712,20.26169739833461,0.6735330755024662
10,10,1400,49.45782764118217,0.6172036261021612,19.286789077884233,0.6944032134357649
10,10,1600,49.625605606504855,0.6170429565692988,18.297972614786907,0.7117465348088424
10,10,1800,49.752036958834566,0.6118953984370068,17.65634850802398,0.7220119919981306
10,10,200,64.08972278753708,0.5952800229573981,29.12683384697473,0.44848967763957515
10,10,2000,49.87826885098144,0.6114231251568503,17.0486330005838,0.7327546096302555
10,10,2500,50.16474476837952,0.6055832857988575,15.999834639507718,0.7556906861101885
10,10,3000,50.39795652336603,0.6056009424636336,13.883329390293591,0.7796628421572723
10,10,3500,50.640328324535034,0.6056846427754738,13.341867831925855,0.7933725095245332
10,10,400,63.5476922232603,0.5980140569089488,25.739666442395805,0.5248212893051448
10,10,4000,50.893791506647226,0.6058996045228765,12.855364569979209,0.8071413700367226
10,10,4500,51.11885532114337,0.6055739652870967,12.38742709381966,0.8169749427999676
10,10,5000,51.30546026958848,0.6101648945656646,10.814218390230328,0.8663449191445366
10,10,600,59.470816732001154,0.6009976953591064,23.657445788645706,0.5786745861207031
10,10,800,56.64373910219884,0.6036376965651378,22.397474800099964,0.6191560664507184
10,1,1,72.40418900111688,0.5697707054293888,46.02994826190348,0.18400400331954594
10,1,10,68.02300528947389,0.5723781071969486,41.06842104813604,0.24713202006645998
10,1,100,63.712585028509096,0.5884476752378489,31.373436097366714,0.39842468990078356
10,1,1000,52.68553953077936,0.6062985650917436,21.227397933292664,0.6497738780000322
